,doi,bioActivity,collectionSpecie,collectionSite,collectionType,molType,molecularMass,monoisotropicMass,cLogP,tpsa,numberOfLipinskiViolations,numberOfH_bondAcceptors,numberOfH_bondDonors,numberOfRotableBonds,molecularVolume,smile
0,10.1016/j.biortech.2010.01.041,Inhibition of Protease,Piper crassinervium (Piperaceae),Araraquara/SP,Biotransformation Product,http://nubbe.db/AromaticDerivative,"290,354187","290,1517944","4,660999775","66,76100159",0,4,2,7,"282,9689941",O=C(OC/C=C(C)/CC/C=C(C)/C)C1=CC(O)=C(O)C=C1
1,10.1016/j.biortech.2010.01.041,Inhibition of Protease,Piper crassinervium (Piperaceae),Araraquara/SP,Biotransformation Product,http://nubbe.db/ChemicalCompound,"290,354187","290,1517944","4,660999775","66,76100159",0,4,2,7,"282,9689941",O=C(OC/C=C(C)/CC/C=C(C)/C)C1=CC(O)=C(O)C=C1
2,10.1016/j.biortech.2010.01.041,Inhibition of Protease,Piper crassinervium (Piperaceae),Araraquara/SP,Biotransformation Product,http://nubbe.db/ChemicalSubstance,"290,354187","290,1517944","4,660999775","66,76100159",0,4,2,7,"282,9689941",O=C(OC/C=C(C)/CC/C=C(C)/C)C1=CC(O)=C(O)C=C1
3,10.1016/j.biortech.2010.01.041,Antiviral,Piper crassinervium (Piperaceae),Araraquara/SP,Biotransformation Product,http://nubbe.db/AromaticDerivative,"290,354187","290,1517944","4,660999775","66,76100159",0,4,2,7,"282,9689941",O=C(OC/C=C(C)/CC/C=C(C)/C)C1=CC(O)=C(O)C=C1
4,10.1016/j.biortech.2010.01.041,Antiviral,Piper crassinervium (Piperaceae),Araraquara/SP,Biotransformation Product,http://nubbe.db/ChemicalCompound,"290,354187","290,1517944","4,660999775","66,76100159",0,4,2,7,"282,9689941",O=C(OC/C=C(C)/CC/C=C(C)/C)C1=CC(O)=C(O)C=C1
5,10.1016/j.biortech.2010.01.041,Antiviral,Piper crassinervium (Piperaceae),Araraquara/SP,Biotransformation Product,http://nubbe.db/ChemicalSubstance,"290,354187","290,1517944","4,660999775","66,76100159",0,4,2,7,"282,9689941",O=C(OC/C=C(C)/CC/C=C(C)/C)C1=CC(O)=C(O)C=C1
6,10.1016/j.biortech.2010.01.041,,,,,,,,,,,,,,,
7,10.1016/j.biortech.2010.01.041,Inhibition of Protease,Piper crassinervium (Piperaceae),Araraquara/SP,Biotransformation Product,http://nubbe.db/AromaticDerivative,"274,3547974","274,1568909","5,150000095","46,53300095",1,3,1,7,"274,9519958",OC1=CC=C(C(OC/C=C(C)/CC/C=C(C)/C)=O)C=C1
8,10.1016/j.biortech.2010.01.041,Inhibition of Protease,Piper crassinervium (Piperaceae),Araraquara/SP,Biotransformation Product,http://nubbe.db/ChemicalCompound,"274,3547974","274,1568909","5,150000095","46,53300095",1,3,1,7,"274,9519958",OC1=CC=C(C(OC/C=C(C)/CC/C=C(C)/C)=O)C=C1
9,10.1016/j.biortech.2010.01.041,Inhibition of Protease,Piper crassinervium (Piperaceae),Araraquara/SP,Biotransformation Product,http://nubbe.db/ChemicalSubstance,"274,3547974","274,1568909","5,150000095","46,53300095",1,3,1,7,"274,9519958",OC1=CC=C(C(OC/C=C(C)/CC/C=C(C)/C)=O)C=C1
10,10.1016/j.biortech.2010.01.041,Antiviral,Piper crassinervium (Piperaceae),Araraquara/SP,Biotransformation Product,http://nubbe.db/AromaticDerivative,"274,3547974","274,1568909","5,150000095","46,53300095",1,3,1,7,"274,9519958",OC1=CC=C(C(OC/C=C(C)/CC/C=C(C)/C)=O)C=C1
11,10.1016/j.biortech.2010.01.041,Antiviral,Piper crassinervium (Piperaceae),Araraquara/SP,Biotransformation Product,http://nubbe.db/ChemicalCompound,"274,3547974","274,1568909","5,150000095","46,53300095",1,3,1,7,"274,9519958",OC1=CC=C(C(OC/C=C(C)/CC/C=C(C)/C)=O)C=C1
12,10.1016/j.biortech.2010.01.041,Antiviral,Piper crassinervium (Piperaceae),Araraquara/SP,Biotransformation Product,http://nubbe.db/ChemicalSubstance,"274,3547974","274,1568909","5,150000095","46,53300095",1,3,1,7,"274,9519958",OC1=CC=C(C(OC/C=C(C)/CC/C=C(C)/C)=O)C=C1
13,10.1590/S0100-40422010000200017,,,,,,,,,,,,,,,
14,10.1590/S0103-50532006000500017,,,,,,,,,,,,,,,
15,10.1002/pca.818,,,,,,,,,,,,,,,
